Longitude,Latitude,Zone
79.248718,29.968277,risk
79.29897,29.953439,risk
79.314079,29.945739,risk
79.328566,29.943427,risk
79.329094,29.943367,risk
79.332523,29.941886,risk
79.414909,29.946969,risk
79.504,30.528583,risk
79.510417,30.530167,risk
79.510947,30.530322,risk
79.513361,30.531333,risk
79.514278,30.531694,risk
79.501917,30.531889,risk
79.501917,30.531889,risk
79.515528,30.53225,risk
79.570742,30.562297,risk
79.56908,30.56344,risk
79.568889,30.563444,risk
79.560444,30.564722,risk
79.968889,30.5895,risk
79.569294,30.6055,risk
79.565917,30.6135,risk
79.553417,30.626417,risk
79.551111,30.629806,risk
79.523861,30.648972,risk
79.522799,30.650344,risk
79.520972,30.651389,risk
79.53425,30.651806,risk
79.517694,30.654917,risk
79.842722,30.668194,risk
79.587472,30.66875,risk
79.512889,30.673528,risk
79.509361,30.677667,risk
79.506861,30.68212,risk
79.50875,30.684583,risk
79.503721,30.475894,risk
79.467341,30.476085,risk
79.467556,30.478306,risk
79.471139,30.48325,risk
79.684429,30.487333,risk
79.676496,30.487541,risk
79.678056,30.487722,risk
79.669167,30.487944,risk
79.665389,30.488139,risk
79.47925,30.486361,risk
79.659556,30.488444,risk
79.485306,30.486778,risk
79.484028,30.487083,risk
79.65075,30.489667,risk
79.650082,30.489762,risk
79.48159,30.489193,risk
79.638405,30.491723,risk
79.621111,30.494139,risk
79.619416,30.494303,risk
79.640662,30.495,risk
79.708792,30.496681,risk
79.614866,30.497568,risk
79.485306,30.504417,risk
79.737306,30.523111,risk
79.508306,30.526194,risk
79.200917,30.369167,risk
79.268389,30.371111,risk
79.273333,30.373,risk
79.226639,30.37375,risk
79.291889,30.378194,risk
79.283833,30.378639,risk
79.294806,30.38,risk
79.22175,30.381833,risk
79.214833,30.38703,risk
79.299972,30.389639,risk
79.200667,30.390556,risk
79.212189,30.395202,risk
79.203102,30.395297,risk
79.209056,30.395972,risk
79.208642,30.397122,risk
79.208298,30.397344,risk
79.317111,30.402444,risk
79.306248,30.410087,risk
79.294722,30.411667,risk
79.289111,30.438861,risk
79.1985,30.324417,risk
79.195056,30.325083,risk
79.194996,30.327595,risk
79.19451,30.328242,risk
79.19375,30.329861,risk
79.194389,30.329889,risk
79.199306,30.341778,risk
79.199409,30.341843,risk
79.199694,30.344056,risk
79.199694,30.344167,risk
79.176194,30.366936,risk
79.123847,30.377175,risk
79.159944,30.379583,risk
79.118456,30.382152,risk
79.114472,30.382639,risk
79.198083,30.386944,risk
79.203944,30.303778,risk
79.203944,30.303833,risk
79.203156,30.306047,risk
79.20225,30.306667,risk
79.310278,30.314861,risk
79.205222,30.322111,risk
79.315389,30.330889,risk
79.315389,30.330889,risk
79.205941,30.331008,risk
79.319944,30.335694,risk
79.29,30.34,risk
79.202111,30.339417,risk
79.289906,30.340603,risk
79.277583,30.346583,risk
79.264167,30.3475,risk
79.261381,30.349094,risk
79.258803,30.351598,risk
79.261521,30.353688,risk
79.318556,30.356222,risk
79.282444,30.357333,risk
79.208222,30.357556,risk
79.246528,30.358194,risk
79.240778,30.358528,risk
79.281293,30.359642,risk
79.281389,30.360278,risk
79.236944,30.361278,risk
79.236278,30.362417,risk
79.229,30.364129,risk
79.274556,30.367611,risk
79.274472,30.368222,risk
79.228528,30.368389,risk
79.193333,30.286111,risk
79.196556,30.286194,risk
79.190528,30.28625,risk
79.152389,30.285806,risk
79.199222,30.28675,risk
79.197583,30.286806,risk
79.196639,30.287389,risk
